date,headline,link
01/03/2025 00:05,"Sau Vĩnh Phúc, Khánh Hòa, Bà Rịa - Vũng Tàu, FPT tìm đất xây tổ hợp giáo dục và phát triển hệ thống Minischool tại Thái Bình",https://cafef.vn/sau-vinh-phuc-khanh-hoa-ba-ria-vung-tau-fpt-tim-dat-xay-to-hop-giao-duc-va-phat-trien-he-thong-minischool-tai-thai-binh-188250228224931427.chn
27/02/2025 11:32,"Thủ tướng triệu tập lãnh đạo T&T, Hoà Phát, Gelex… và loạt ngân hàng Vietcombank, BIDV, Vietinbank, VPBank...",https://cafef.vn/thu-tuong-trieu-tap-lanh-dao-tt-hoa-phat-gelex-va-loat-ngan-hang-vietcombank-bidv-vietinbank-vpbank-188250227113121667.chn
26/02/2025 09:32,"FPT bắt tay cùng “ông lớn” Ấn Độ đào tạo kỹ sư AI, đưa Việt Nam thành trung tâm chuỗi cung ứng phần mềm ô tô toàn cầu",https://cafef.vn/fpt-bat-tay-cung-ong-lon-an-do-dao-tao-ky-su-ai-dua-viet-nam-thanh-trung-tam-chuoi-cung-ung-phan-mem-o-to-toan-cau-188250226093139585.chn
25/02/2025 15:31,"FPT mở chương trình đào tạo nhân lực ngành ô tô: Sinh viên chỉ cần học 2 năm, 70% là thực hành, tuyển sinh ngay tháng sau",https://cafef.vn/fpt-mo-chuong-trinh-dao-tao-nhan-luc-nganh-o-to-sinh-vien-chi-can-hoc-2-nam-70-la-thuc-hanh-tuyen-sinh-ngay-thang-sau-188250225153106053.chn
25/02/2025 11:57,FPT 'chơi lớn' tại Nhật Bản: Mua thêm 1 tòa nhà 400m2 ở trung tâm Tokyo,https://cafef.vn/fpt-choi-lon-tai-nhat-ban-mua-them-1-toa-nha-400m2-o-trung-tam-tokyo-188250225115705224.chn
19/02/2025 19:04,FPT muốn đầu tư gần 10.000 tỷ đồng xây khu đô thị công nghệ có trung tâm AI 81.600m2 và tổ hợp giáo dục tại Nha Trang,https://cafef.vn/fpt-muon-dau-tu-gan-10000-ty-dong-xay-khu-do-thi-cong-nghe-co-trung-tam-ai-81600m2-va-to-hop-giao-duc-tai-nha-trang-188250219190354786.chn
17/02/2025 20:32,"Phát triển hệ sinh thái SAP toàn diện, FPT hướng tới mục tiêu 3.000 chuyên gia trong mảng này vào 2027",https://cafef.vn/phat-trien-he-sinh-thai-sap-toan-dien-fpt-huong-toi-muc-tieu-3000-chuyen-gia-trong-mang-nay-vao-2027-18825021720330982.chn
17/02/2025 13:25,"Nhà máy AI của FPT tại Nhật Bản dự kiến chậm kế hoạch, lãnh đạo khẳng định nhu cầu chip Nvidia không bị ảnh hưởng bởi DeepSeek",https://cafef.vn/nha-may-ai-cua-fpt-tai-nhat-ban-du-kien-cham-ke-hoach-lanh-dao-khang-dinh-nhu-cau-chip-nvidia-khong-bi-anh-huong-boi-deepseek-188250217115656704.chn
16/02/2025 16:49,Khu Công viên phần mềm gần 1.400 tỷ đồng ở Đà Nẵng gặp khó,https://cafef.vn/khu-cong-vien-phan-mem-gan-1400-ty-dong-o-da-nang-gap-kho-188250216164911796.chn
15/02/2025 10:03,"Tuyên bố ""Không ai được mất việc"", các công ty nhà FPT tăng hơn 10.200 nhân sự, loạt doanh nghiệp trở lại ồ ạt tuyển hàng nghìn người mới",https://cafef.vn/tuyen-bo-khong-ai-duoc-mat-viec-cac-cong-ty-nha-fpt-tang-hon-10200-nhan-su-loat-doanh-nghiep-tro-lai-o-at-tuyen-hang-nghin-nguoi-moi-18825021510031081.chn
